Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Теліженко,Артем,Тарасович,male,1972-12-29,Дизайнер,селище Решетилівка,"площа Романтичний, буд. 720, Генічеськ, 80691",+380 (73) 324-15-68,hvashchuk@example.org
Іваненко,Оксенія,Мар'янівна,female,1962-01-19,Менеджер з маркетингу,хутір Коломия,"вулиця Кишинівська, буд. 87, Южне, 55228",020 124 45 61,iustymavramenko@example.org
Гресь,Панас,Ярославович,male,1952-02-13,Системний адміністратор,село Щолкіне,"набережна Кордонний, буд. 14 кв. 9, Одеса, 67012",+380 (53) 051-24-50,riabetsrostyslav@example.com
Яременко,Варфоломій,Данилович,male,2001-06-11,Аудитор,місто Українськ,"сквер Макарова, буд. 02 кв. 0, Шумськ, 43948",+380 (35) 811-20-92,irenamykhaliuk@example.net
Шиян,Нестор,Денисович,male,1950-09-14,Бухгалтер,селище Здолбунів,"проспект 1-ша Суворовська, буд. 95, Хрестівка, 93873",+380 63 299-90-25,iderevianko@example.org
Салій,Одарка,Василівна,female,1976-09-03,Менеджер з маркетингу,селище Торецьк,"проспект Місячна, буд. 91, Тальне, 50256",060 751 73 16,tsymbaliukdemyd@example.net
Зарудний,Іван,Павлович,male,1965-01-16,Менеджер з закупівель,хутір Олександрівськ,"проспект Ремонтна, буд. 587, Олевськ, 60469",043 737-51-42,stepan36@example.org
Худяк,Кирило,Вікторович,male,1987-04-22,Програміст,місто Тетіїв,"набережна Щоголєва, буд. 897, Копичинці, 73312",419-60-27,sahaldavyd@example.net
Вишняк,Аркадій,Тимофійович,male,1979-06-22,PR-менеджер,селище Лисичанськ,"проспект Архітектурна, буд. 71 кв. 9, Амвросіївка, 06886",843-19-80,markozarudnyi@example.net
Гузь,Олена,Тимофіївна,female,2002-02-15,Асистент керівника,хутір Тульчин,"провулок Новий, буд. 418, Дубровиця, 56090",+380 53 222 25 95,geregastanislav@example.com
Онищенко,Ірена,Кирилівна,female,1969-11-01,Кадровий менеджер,місто Харків,"парк Ф. Пішеніна, буд. 203 кв. 52, Дергачі, 53220",+380 31 896-47-23,maksymchornovil@example.org
